======================================================================
POWER-DOWN ECO REPORT
======================================================================

Total unused cells found: 94447
Tiles with unused cells: 3240
Tie cells claimed: 3240

PER-TILE BREAKDOWN:
----------------------------------------------------------------------
  T12Y69: 30 unused cells, Tie: T12Y69__R1_CONB_0
  T12Y7: 30 unused cells, Tie: T12Y7__R1_CONB_0
  T12Y70: 30 unused cells, Tie: T12Y70__R1_CONB_0
  T12Y71: 30 unused cells, Tie: T12Y71__R1_CONB_0
  T12Y72: 30 unused cells, Tie: T12Y72__R1_CONB_0
  T12Y73: 30 unused cells, Tie: T12Y73__R1_CONB_0
  T12Y74: 30 unused cells, Tie: T12Y74__R1_CONB_0
  T12Y75: 30 unused cells, Tie: T12Y75__R1_CONB_0
  T12Y76: 30 unused cells, Tie: T12Y76__R1_CONB_0
  T12Y77: 30 unused cells, Tie: T12Y77__R1_CONB_0
  T12Y78: 30 unused cells, Tie: T12Y78__R1_CONB_0
  T12Y79: 30 unused cells, Tie: T12Y79__R1_CONB_0
  T12Y8: 28 unused cells, Tie: T12Y8__R1_CONB_0
  T12Y80: 30 unused cells, Tie: T12Y80__R1_CONB_0
  T12Y81: 30 unused cells, Tie: T12Y81__R1_CONB_0
  T12Y82: 30 unused cells, Tie: T12Y82__R1_CONB_0
  T12Y83: 30 unused cells, Tie: T12Y83__R1_CONB_0
  T12Y84: 30 unused cells, Tie: T12Y84__R1_CONB_0
  T12Y85: 30 unused cells, Tie: T12Y85__R1_CONB_0
  T12Y86: 30 unused cells, Tie: T12Y86__R1_CONB_0
  T12Y87: 30 unused cells, Tie: T12Y87__R1_CONB_0
  T12Y88: 30 unused cells, Tie: T12Y88__R1_CONB_0
  T12Y89: 30 unused cells, Tie: T12Y89__R1_CONB_0
  T12Y9: 29 unused cells, Tie: T12Y9__R1_CONB_0
  T13Y0: 30 unused cells, Tie: T13Y0__R1_CONB_0
  T13Y1: 30 unused cells, Tie: T13Y1__R1_CONB_0
  T13Y10: 30 unused cells, Tie: T13Y10__R1_CONB_0
  T13Y11: 30 unused cells, Tie: T13Y11__R1_CONB_0
  T13Y12: 25 unused cells, Tie: T13Y12__R1_CONB_0
  T13Y13: 19 unused cells, Tie: T13Y13__R1_CONB_0
  T13Y14: 17 unused cells, Tie: T13Y14__R1_CONB_0
  T13Y15: 15 unused cells, Tie: T13Y15__R1_CONB_0
  T13Y16: 15 unused cells, Tie: T13Y16__R1_CONB_0
  T13Y17: 9 unused cells, Tie: T13Y17__R1_CONB_0
  T13Y18: 7 unused cells, Tie: T13Y18__R1_CONB_0
  T13Y19: 16 unused cells, Tie: T13Y19__R1_CONB_0
  T13Y2: 30 unused cells, Tie: T13Y2__R1_CONB_0
  T13Y20: 15 unused cells, Tie: T13Y20__R1_CONB_0
  T13Y21: 13 unused cells, Tie: T13Y21__R1_CONB_0
  T13Y22: 11 unused cells, Tie: T13Y22__R1_CONB_0
  T13Y23: 24 unused cells, Tie: T13Y23__R1_CONB_0
  T13Y24: 28 unused cells, Tie: T13Y24__R1_CONB_0
  T13Y25: 23 unused cells, Tie: T13Y25__R1_CONB_0
  T13Y26: 28 unused cells, Tie: T13Y26__R1_CONB_0
  T13Y27: 29 unused cells, Tie: T13Y27__R1_CONB_0
  T13Y28: 30 unused cells, Tie: T13Y28__R1_CONB_0
  T13Y29: 30 unused cells, Tie: T13Y29__R1_CONB_0
  T13Y3: 30 unused cells, Tie: T13Y3__R1_CONB_0
  T13Y30: 30 unused cells, Tie: T13Y30__R1_CONB_0
  T13Y31: 30 unused cells, Tie: T13Y31__R1_CONB_0
  T13Y32: 30 unused cells, Tie: T13Y32__R1_CONB_0
  T13Y33: 30 unused cells, Tie: T13Y33__R1_CONB_0
  T13Y34: 30 unused cells, Tie: T13Y34__R1_CONB_0
  T13Y35: 30 unused cells, Tie: T13Y35__R1_CONB_0
  T13Y36: 30 unused cells, Tie: T13Y36__R1_CONB_0
  T13Y37: 30 unused cells, Tie: T13Y37__R1_CONB_0
  T13Y38: 30 unused cells, Tie: T13Y38__R1_CONB_0
  T13Y39: 29 unused cells, Tie: T13Y39__R1_CONB_0
  T13Y4: 29 unused cells, Tie: T13Y4__R1_CONB_0
  T13Y40: 30 unused cells, Tie: T13Y40__R1_CONB_0
  T13Y41: 30 unused cells, Tie: T13Y41__R1_CONB_0
